iter	Passed	Remaining
0	1	112
1	2	105
2	3	109
3	4	101
4	5	101
5	6	99
6	7	96
7	8	94
8	9	92
9	10	90
10	10	88
11	11	87
12	12	85
13	13	83
14	14	82
15	15	80
16	16	79
17	17	78
18	18	78
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	23	71
25	24	70
26	25	69
27	26	68
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	28
68	60	27
69	61	26
70	62	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	66	19
77	67	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	5
93	80	5
94	81	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
